Order Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
2023-12-15,Fateh Dasgupta,Gujarat,Furniture,Tables,Office Desk,12415.72,3,3325.31
2024-09-22,Shayak Anne,Rajasthan,Furniture,Chairs,Mesh Back Chair,4611.88,3,310.63
2023-06-29,Khushi Choudhary,Madhya Pradesh,Technology,Copiers,HP ScanJet,13846.75,4,3612.83
2023-08-08,Rhea Raval,West Bengal,Technology,Phones,iPhone 14,5973.66,2,1767.53
2023-07-18,Darshit Zachariah,Gujarat,Furniture,Chairs,Ergo Chair,6884.07,3,2038.09
2023-12-25,Devansh Kurian,Tamil Nadu,Furniture,Furnishings,Table Mats,1239.17,3,197.05
2023-12-07,Oorja Kibe,Tamil Nadu,Office Supplies,Storage,Storage Box,6810.68,3,1956.15
2024-09-09,Samaira Wadhwa,Delhi,Technology,Laptops,MacBook Air,7902.56,3,1712.67
2024-06-25,Nirvaan Srinivasan,West Bengal,Technology,Machines,Binding Machine,4054.91,5,628.96
2023-09-07,Kanav Batta,Bihar,Technology,Accessories,Earbuds,6447.48,3,1666.23
2024-05-08,Sumer Kakar,Rajasthan,Technology,Copiers,Xerox Pro,15559.88,5,2031.53
2024-11-28,Samiha Bala,Tamil Nadu,Technology,Machines,Binding Machine,12356.47,5,3401.68
2025-01-09,Biju Jaggi,Delhi,Office Supplies,Paper,Photo Paper,8022.51,3,1670.57
2023-09-16,Yasmin Venkataraman,West Bengal,Technology,Phones,Samsung Galaxy S22,8143.0,2,707.13
2024-08-13,Kartik Chandran,Bihar,Furniture,Tables,Office Desk,2386.0,1,647.88
2023-11-13,Hiran Kakar,Rajasthan,Office Supplies,Paper,Photo Paper,8473.33,4,736.27
2025-05-03,Anahi Dash,Rajasthan,Office Supplies,Binders,White Binder,2088.51,2,604.61
2025-04-23,Ahana  Swamy,Madhya Pradesh,Office Supplies,Labels,Address Labels,9207.71,2,739.74
2024-08-16,Badal Sachdev,Madhya Pradesh,Furniture,Furnishings,Table Mats,15290.86,5,4396.27
2025-04-13,Divij Shetty,Madhya Pradesh,Technology,Laptops,Lenovo ThinkPad,18026.4,4,4252.68
2024-07-05,Ivan Jani,Tamil Nadu,Technology,Machines,Shredder,11627.72,3,2096.77
2024-04-30,Lakshit Venkatesh,Uttar Pradesh,Office Supplies,Paper,Legal Paper,3625.02,1,393.76
2023-06-25,Ivan Gupta,Delhi,Technology,Copiers,HP ScanJet,1847.97,2,269.36
2025-02-22,Prerak Srinivasan,Rajasthan,Furniture,Tables,Study Table,7152.92,4,1190.83
2024-12-16,Reyansh Kakar,Rajasthan,Furniture,Tables,Office Desk,23705.49,5,1301.03
2024-02-09,Indrans Chandran,Maharashtra,Office Supplies,Labels,Shipping Labels,4900.02,3,722.74
2025-01-15,Bhavin Mann,Uttar Pradesh,Technology,Laptops,Dell Inspiron,3020.18,2,517.69
2023-08-07,Siya Dugar,Rajasthan,Technology,Copiers,HP ScanJet,8468.85,2,2370.31
2024-07-18,Keya Khare,Rajasthan,Office Supplies,Storage,File Cabinet,14545.41,5,825.82
2023-08-25,Bhavin Kumar,Uttar Pradesh,Office Supplies,Labels,Address Labels,882.73,2,127.8
2023-08-15,Darshit Rajan,Gujarat,Furniture,Furnishings,Cushions,6142.53,4,1767.83
2025-05-15,Yuvaan Bhasin,Uttar Pradesh,Technology,Copiers,Xerox Pro,3795.32,1,239.19
2023-07-24,Kavya Rajan,Delhi,Technology,Accessories,Earbuds,3820.32,1,1097.97
2024-09-19,Aaina Saha,Tamil Nadu,Furniture,Chairs,Mesh Back Chair,4946.19,2,388.76
2024-11-25,Pranay Chaudry,West Bengal,Furniture,Furnishings,Table Mats,3016.16,3,608.7
2024-04-26,Nakul Deo,West Bengal,Office Supplies,Binders,White Binder,2977.69,1,840.37
2024-02-12,Oorja Roy,Tamil Nadu,Office Supplies,Labels,Shipping Labels,3042.07,1,783.77
2025-06-19,Saksham Sheth,Bihar,Furniture,Chairs,Recliner,4021.89,1,770.12
2024-10-18,Aayush Karnik,Rajasthan,Furniture,Bookcases,Corner Bookrack,1592.98,3,337.53
2023-12-06,Devansh Luthra,Delhi,Furniture,Furnishings,Cushions,19247.12,4,4020.65
2025-05-08,Hansh Ghosh,Karnataka,Technology,Accessories,Wireless Charger,24171.37,5,2840.63
2024-01-31,Nirvaan Goyal,Rajasthan,Office Supplies,Labels,Shipping Labels,7441.49,5,1956.58
2024-08-18,Advika Thaman,Tamil Nadu,Furniture,Bookcases,Metal Shelf,11741.11,4,2548.37
2024-11-12,Manjari Swamy,Gujarat,Technology,Phones,Realme GT,5080.48,2,704.69
2024-08-27,Nitya Taneja,Bihar,Technology,Copiers,Canon CopyJet,8603.39,3,1541.36
2025-06-22,Nitara Ben,Rajasthan,Furniture,Chairs,Mesh Back Chair,11459.38,4,1261.46
2025-05-15,Prerak Bhardwaj,Maharashtra,Technology,Machines,Shredder,1612.33,1,243.62
2023-10-22,Shanaya Malhotra,Bihar,Furniture,Bookcases,Corner Bookrack,7414.95,3,1354.94
2023-12-04,Raunak Ramakrishnan,Gujarat,Technology,Laptops,MacBook Air,6001.6,4,677.29
2024-10-28,Lagan Sankar,Delhi,Furniture,Tables,Office Desk,23821.06,5,5301.16
2024-01-05,Dishani Konda,Uttar Pradesh,Furniture,Tables,Adjustable Table,11034.02,3,3245.68
2024-05-18,Divij Ravel,Delhi,Office Supplies,Storage,Plastic Organizer,3243.97,2,454.87
2024-03-09,Azad Agarwal,West Bengal,Technology,Phones,Samsung Galaxy S22,4876.62,1,918.46
2023-10-27,Navya Deep,Uttar Pradesh,Office Supplies,Paper,Photo Paper,4389.05,1,849.35
2024-05-21,Ishita Sastry,Gujarat,Technology,Machines,Shredder,9668.78,2,1093.73
2025-05-09,Faiyaz Barad,Rajasthan,Technology,Phones,iPhone 14,2222.38,4,460.84
2025-04-02,Inaaya  Badami,Bihar,Furniture,Tables,Study Table,1826.61,3,204.67
2023-10-17,Keya Majumdar,Madhya Pradesh,Office Supplies,Labels,Address Labels,9449.88,4,1518.41
2024-02-18,Gokul Bail,Bihar,Office Supplies,Labels,Shipping Labels,2445.53,5,709.27
2023-07-24,Yashvi Vasa,Tamil Nadu,Furniture,Tables,Adjustable Table,10110.17,3,902.48
2024-01-03,Lakshay Sanghvi,Maharashtra,Furniture,Chairs,Mesh Back Chair,9449.67,4,1875.31
2024-08-31,Sumer Sridhar,West Bengal,Technology,Phones,Samsung Galaxy S22,10723.02,3,1753.3
2023-10-22,Miraya Shere,Bihar,Office Supplies,Paper,Legal Paper,4481.33,2,834.16
2025-03-14,Ishaan Sura,Karnataka,Office Supplies,Paper,Legal Paper,486.26,1,120.67
2023-11-10,Zain Arora,Uttar Pradesh,Office Supplies,Storage,Plastic Organizer,2449.75,1,308.72
2025-03-08,Vardaniya Jha,Madhya Pradesh,Technology,Copiers,HP ScanJet,9204.97,4,1836.48
2025-02-24,Priyansh Buch,West Bengal,Technology,Copiers,HP ScanJet,638.37,1,185.43
2023-07-24,Vaibhav Viswanathan,West Bengal,Office Supplies,Storage,File Cabinet,1965.56,5,469.9
2025-03-19,Madhup Chaudhry,West Bengal,Technology,Laptops,Lenovo ThinkPad,9970.68,2,1585.05
2025-03-22,Stuvan Dua,Gujarat,Technology,Phones,Realme GT,7199.52,4,1566.14
2024-11-17,Mamooty Arora,Uttar Pradesh,Furniture,Bookcases,Metal Shelf,10141.2,3,1522.33
2024-01-26,Yakshit Gala,Delhi,Office Supplies,Binders,Heavy-Duty Binder,4234.54,3,334.45
2024-03-22,Trisha Dewan,Madhya Pradesh,Technology,Laptops,HP Pavilion,8734.35,4,846.32
2024-08-13,Parinaaz Upadhyay,Uttar Pradesh,Technology,Laptops,Lenovo ThinkPad,1177.08,1,220.47
2025-05-05,Aniruddh Bhardwaj,Uttar Pradesh,Technology,Machines,Binding Machine,338.57,1,70.26
2024-01-16,Jayesh Mannan,Madhya Pradesh,Furniture,Tables,Office Desk,2850.81,1,208.97
2024-05-26,Emir Raju,Karnataka,Furniture,Furnishings,Curtains,18706.94,4,2300.31
2024-02-22,Samiha Srivastava,Uttar Pradesh,Office Supplies,Art,Canvas Pad,5479.63,4,1029.16
2023-09-21,Mahika Kumer,Madhya Pradesh,Technology,Accessories,Earbuds,8694.66,2,1035.2
2024-01-07,Kashvi Chandran,West Bengal,Technology,Copiers,HP ScanJet,1557.63,1,194.14
2023-06-25,Rhea Kamdar,Uttar Pradesh,Office Supplies,Storage,Storage Box,4686.85,2,801.85
2023-08-17,Tejas Kale,Uttar Pradesh,Technology,Laptops,Lenovo ThinkPad,13122.26,3,3873.61
2024-11-20,Misha Dugar,Rajasthan,Furniture,Furnishings,Curtains,1727.25,1,290.6
2024-02-12,Saira Yogi,Karnataka,Technology,Machines,Binding Machine,19324.63,4,1576.15
2024-03-03,Nitya Jayaraman,Uttar Pradesh,Office Supplies,Art,Paint Brush,2724.57,1,447.46
2024-08-27,Rasha Divan,Karnataka,Office Supplies,Paper,Legal Paper,2453.55,1,717.17
2024-11-21,Kartik Kade,Delhi,Technology,Laptops,Lenovo ThinkPad,12873.72,3,3409.42
2025-05-25,Parinaaz Shere,Uttar Pradesh,Technology,Copiers,HP ScanJet,1861.58,5,124.92
2024-02-12,Mannat Mane,Delhi,Office Supplies,Art,Paint Brush,19584.08,4,4701.99
2023-06-24,Ira Thaman,Karnataka,Office Supplies,Binders,Heavy-Duty Binder,13609.31,3,836.94
2024-05-22,Reyansh Cheema,Gujarat,Furniture,Bookcases,Metal Shelf,3594.94,4,657.12
2024-06-01,Anahita Kant,Karnataka,Office Supplies,Paper,A4 Paper 500 sheets,3125.56,1,455.19
2025-03-01,Diya Khalsa,Bihar,Office Supplies,Paper,Legal Paper,2629.01,2,550.71
2024-01-30,Nirvi Basak,Maharashtra,Technology,Copiers,HP ScanJet,18103.22,4,3971.9
2025-01-27,Divij Tank,Gujarat,Furniture,Chairs,Ergo Chair,8179.7,5,2376.26
2023-12-15,Pari Dubey,West Bengal,Office Supplies,Art,Canvas Pad,9993.99,2,2631.76
2023-07-29,Hunar Arora,Bihar,Furniture,Tables,Office Desk,8877.29,3,2646.97
2025-04-14,Anika Ramaswamy,West Bengal,Technology,Phones,Realme GT,2916.46,1,645.85
2025-05-12,Amani Johal,West Bengal,Office Supplies,Binders,Heavy-Duty Binder,6227.82,2,859.94
2024-04-17,Saanvi Sarin,West Bengal,Office Supplies,Paper,Photo Paper,6431.18,2,1774.05
2023-10-16,Yakshit Dara,Uttar Pradesh,Office Supplies,Binders,Heavy-Duty Binder,2981.95,1,695.06
2025-02-11,Suhana Vasa,Rajasthan,Furniture,Bookcases,Metal Shelf,2327.63,2,574.06
2023-12-10,Vanya Kala,Karnataka,Technology,Laptops,MacBook Air,13762.3,3,3936.66
2024-07-30,Zaina Sarin,Uttar Pradesh,Technology,Copiers,Xerox Pro,875.63,1,255.36
2024-01-03,Badal Mallick,Delhi,Office Supplies,Labels,Shipping Labels,1067.24,4,196.52
2025-03-07,Amani Bhavsar,West Bengal,Technology,Copiers,HP ScanJet,10144.61,5,2126.69
2024-08-31,Nitya Lanka,Uttar Pradesh,Technology,Phones,Samsung Galaxy S22,3173.82,1,907.05
2024-06-01,Tanya Walla,Delhi,Technology,Laptops,Dell Inspiron,18260.24,4,2292.53
2025-05-20,Ira Kapoor,Maharashtra,Technology,Phones,Samsung Galaxy S22,1660.95,1,287.6
2024-06-26,Shanaya Venkataraman,Karnataka,Furniture,Tables,Adjustable Table,9509.96,4,2069.57
2024-01-02,Pranay Sheth,Bihar,Office Supplies,Storage,Plastic Organizer,8899.97,2,1902.19
2024-08-01,Tiya Sood,West Bengal,Technology,Laptops,Lenovo ThinkPad,3513.35,1,366.5
2024-01-23,Mishti Dar,Delhi,Technology,Accessories,Wireless Charger,8440.31,3,2485.34
2024-01-31,Dhanuk Saxena,West Bengal,Technology,Phones,Realme GT,9694.79,2,2784.85
2024-02-27,Purab Ganesh,Bihar,Technology,Phones,Samsung Galaxy S22,442.78,1,59.06
2023-12-20,Hiran Borra,Madhya Pradesh,Furniture,Tables,Study Table,6029.28,2,1527.0
2024-12-23,Rania Bose,Bihar,Furniture,Bookcases,Wooden Bookcase,1530.92,1,453.16
2024-05-05,Chirag Johal,Delhi,Furniture,Bookcases,Wooden Bookcase,832.66,1,116.21
2024-05-11,Hrishita Kaul,Karnataka,Furniture,Bookcases,Wooden Bookcase,1354.55,3,318.9
2024-05-15,Lagan Thaman,Uttar Pradesh,Office Supplies,Binders,White Binder,15737.93,4,2806.22
2024-12-15,Trisha Master,Tamil Nadu,Furniture,Furnishings,Table Mats,2040.76,5,501.63
2024-04-14,Tarini Mani,Uttar Pradesh,Office Supplies,Storage,Plastic Organizer,491.96,1,83.51
2024-02-10,Aarush Goda,Delhi,Technology,Machines,Binding Machine,14478.11,4,2329.39
2025-01-24,Aaina Luthra,Karnataka,Furniture,Bookcases,Corner Bookrack,805.72,1,166.04
2024-01-21,Aradhya Choudhary,Gujarat,Office Supplies,Storage,Storage Box,19896.85,4,3633.94
2024-04-21,Aradhya Atwal,Delhi,Technology,Laptops,Lenovo ThinkPad,4293.41,1,913.33
2025-03-04,Oorja Sane,Uttar Pradesh,Office Supplies,Paper,Legal Paper,4372.61,2,1123.13
2025-04-06,Samaira Butala,Delhi,Technology,Machines,Binding Machine,6745.4,3,1458.87
2024-08-11,Gokul Rastogi,Uttar Pradesh,Technology,Accessories,Earbuds,637.88,1,45.51
2024-09-04,Vihaan Rajagopalan,Karnataka,Technology,Phones,OnePlus Nord,2439.54,5,705.41
2024-05-21,Dharmajan Rout,Delhi,Office Supplies,Art,Sketch Pen Set,7589.08,4,1641.78
2023-08-02,Anahi Chand,Bihar,Technology,Phones,OnePlus Nord,5663.71,3,1101.48
2023-12-05,Vaibhav Gade,Uttar Pradesh,Furniture,Tables,Adjustable Table,8533.84,2,1173.65
2025-02-04,Shaan Ganguly,West Bengal,Office Supplies,Art,Paint Brush,6427.82,5,1010.96
2025-03-31,Ranbir Shetty,Madhya Pradesh,Office Supplies,Storage,Storage Box,3123.18,1,669.79
2023-08-26,Ojas Tiwari,Karnataka,Office Supplies,Art,Paint Brush,10718.86,3,1363.93
2024-08-15,Advik Shere,Karnataka,Technology,Copiers,Xerox Pro,5836.68,2,876.65
2024-11-09,Stuvan Choudhury,Madhya Pradesh,Furniture,Chairs,Executive Chair,4011.47,2,655.52
2023-07-25,Vanya Sachdev,Gujarat,Furniture,Bookcases,Metal Shelf,15309.37,5,4146.32
2025-04-05,Nishith Chaudhry,Maharashtra,Furniture,Tables,Adjustable Table,1506.09,1,324.54
2023-12-26,Misha Bose,Rajasthan,Technology,Laptops,Lenovo ThinkPad,3704.19,3,659.67
2023-09-20,Anika Sami,West Bengal,Technology,Machines,Lamination Machine,12679.19,5,2748.63
2024-01-09,Anahita Sarma,Bihar,Furniture,Tables,Office Desk,236.9,1,29.7
2024-10-07,Ivan Raman,West Bengal,Furniture,Tables,Office Desk,2327.77,3,405.84
2023-10-29,Vanya Tank,Rajasthan,Technology,Accessories,Phone Cover,17888.11,5,3131.59
2023-07-13,Emir Mann,Rajasthan,Office Supplies,Art,Paint Brush,2293.85,1,378.34
2025-05-29,Kashvi Sandhu,Rajasthan,Furniture,Bookcases,Corner Bookrack,10706.15,5,2248.67
2023-11-25,Vivaan Sehgal,Maharashtra,Technology,Phones,Realme GT,3074.97,3,882.22
2025-03-30,Kiara Sant,Rajasthan,Technology,Copiers,Xerox Pro,1367.92,1,269.78
2025-02-13,Ehsaan Sarin,West Bengal,Office Supplies,Binders,Heavy-Duty Binder,3790.64,3,927.87
2025-03-10,Piya Rama,Gujarat,Furniture,Chairs,Mesh Back Chair,11074.26,3,2821.03
2025-02-20,Yashvi Mandal,Karnataka,Furniture,Tables,Study Table,3440.71,3,690.21
2024-05-21,Shray Lata,Uttar Pradesh,Office Supplies,Binders,White Binder,15285.36,4,3668.02
2024-11-07,Darshit Kulkarni,Gujarat,Technology,Laptops,MacBook Air,4621.72,2,772.89
2024-05-15,Abram Vala,Bihar,Office Supplies,Art,Canvas Pad,1889.32,1,129.51
2024-03-31,Emir Kalita,Maharashtra,Technology,Machines,Lamination Machine,12576.43,3,870.07
2024-05-27,Rhea Bose,Bihar,Furniture,Furnishings,Cushions,23901.56,5,5610.42
2024-11-10,Sana Lal,Tamil Nadu,Furniture,Furnishings,Table Mats,9312.08,3,1632.8
2025-06-07,Mannat Swamy,Gujarat,Furniture,Furnishings,Curtains,2621.84,1,244.2
2025-03-26,Anahita Kamdar,Madhya Pradesh,Furniture,Furnishings,Cushions,15635.33,5,2204.18
2023-12-31,Samarth Varkey,Gujarat,Technology,Machines,Shredder,2256.77,5,468.78
2024-06-08,Ranbir Wadhwa,Delhi,Technology,Phones,OnePlus Nord,17281.1,5,2091.65
2024-09-08,Suhana Kata,Gujarat,Office Supplies,Storage,File Cabinet,2997.15,1,255.83
2024-07-11,Shayak Atwal,Rajasthan,Technology,Copiers,HP ScanJet,6112.4,2,1738.98
2023-12-05,Jivin Kohli,Gujarat,Technology,Laptops,Lenovo ThinkPad,6833.12,2,1757.75
2024-03-14,Yasmin Dayal,Rajasthan,Office Supplies,Storage,File Cabinet,9683.87,5,1362.03
2025-05-07,Kimaya Sarna,Uttar Pradesh,Furniture,Tables,Office Desk,2574.81,2,217.29
2024-07-29,Ivana Ahluwalia,Madhya Pradesh,Furniture,Bookcases,Wooden Bookcase,21042.88,5,5700.95
2025-01-03,Dharmajan Dara,Karnataka,Furniture,Bookcases,Corner Bookrack,10041.28,5,909.36
2025-02-01,Ayesha Mall,Uttar Pradesh,Office Supplies,Storage,File Cabinet,2172.12,1,475.89
2024-11-06,Prisha Khanna,West Bengal,Furniture,Furnishings,Table Mats,5292.86,4,581.11
2023-07-07,Alia Sule,Bihar,Technology,Accessories,Wireless Charger,9664.26,4,1163.99
2024-05-03,Ritvik Choudhry,Karnataka,Technology,Laptops,Lenovo ThinkPad,8092.09,2,684.59
2024-09-17,Ryan Saini,Gujarat,Technology,Phones,Realme GT,23423.05,5,5336.95
2024-08-09,Anika Malhotra,Delhi,Office Supplies,Binders,Heavy-Duty Binder,3018.8,2,834.17
2024-08-24,Aarna Sharma,Tamil Nadu,Furniture,Furnishings,Curtains,17784.89,4,5026.33
2024-06-10,Sumer Sarna,Madhya Pradesh,Technology,Phones,Realme GT,3995.2,3,1193.09
2023-12-20,Ryan Dass,Gujarat,Technology,Accessories,Phone Cover,4228.05,1,898.42
2024-02-24,Saira Char,West Bengal,Furniture,Tables,Study Table,14164.58,4,1199.71
2025-02-05,Shanaya Loyal,Bihar,Office Supplies,Labels,Shipping Labels,4548.12,1,249.01
2025-01-17,Kartik Chokshi,Bihar,Furniture,Tables,Adjustable Table,11158.11,5,2723.06
2024-09-23,Raghav Sengupta,Maharashtra,Furniture,Bookcases,Wooden Bookcase,4430.33,2,1100.83
2023-11-21,Divyansh Thaman,Uttar Pradesh,Technology,Phones,iPhone 14,13865.29,5,2883.82
2023-11-10,Manikya Gole,Karnataka,Office Supplies,Paper,Photo Paper,6781.04,3,1381.31
2024-08-11,Abram Sathe,Delhi,Furniture,Furnishings,Curtains,24391.71,5,1632.29
2023-08-05,Raghav Bajaj,Madhya Pradesh,Office Supplies,Storage,Storage Box,1488.02,5,399.28
2024-10-31,Rasha Bhatnagar,West Bengal,Furniture,Furnishings,Cushions,1914.05,1,128.03
2023-07-03,Ehsaan Viswanathan,Karnataka,Furniture,Chairs,Recliner,1891.04,1,254.6
2024-05-31,Anaya Khatri,Uttar Pradesh,Office Supplies,Paper,Photo Paper,12929.33,4,3269.5
2024-01-06,Kabir Bal,West Bengal,Furniture,Furnishings,Curtains,820.54,2,81.95
2023-08-13,Farhan Tara,Madhya Pradesh,Furniture,Bookcases,Metal Shelf,19791.16,4,3676.36
2024-09-14,Ayesha Bansal,West Bengal,Technology,Phones,Samsung Galaxy S22,13014.79,3,806.28
2025-03-15,Indrajit Borde,Delhi,Office Supplies,Art,Canvas Pad,6892.1,3,1033.85
2023-09-24,Dharmajan Dash,Karnataka,Technology,Machines,Shredder,14087.72,4,1998.16
2025-02-27,Mahika Raju,Rajasthan,Office Supplies,Art,Paint Brush,2266.91,1,677.29
2024-04-14,Urvi Lal,Delhi,Furniture,Bookcases,Metal Shelf,1774.02,1,219.82
2025-04-22,Ahana  Dixit,Karnataka,Technology,Laptops,Lenovo ThinkPad,7549.7,4,457.43
2024-10-18,Ryan Mane,West Bengal,Technology,Laptops,Lenovo ThinkPad,560.2,1,117.29
2023-09-09,Manjari Shankar,Maharashtra,Technology,Laptops,Dell Inspiron,8547.23,2,1876.31
2024-01-15,Mishti Cherian,Delhi,Technology,Phones,Samsung Galaxy S22,7873.75,2,1114.78
2023-11-06,Indranil Dar,Bihar,Technology,Laptops,HP Pavilion,6919.0,2,1987.18
2024-05-06,Indranil Agarwal,Bihar,Technology,Machines,Lamination Machine,5482.81,2,819.73
2024-06-22,Prisha Rajan,Delhi,Office Supplies,Art,Paint Brush,3731.24,1,652.08
2024-02-02,Arhaan D’Alia,West Bengal,Technology,Laptops,HP Pavilion,10738.14,3,1112.93
2024-06-10,Rati Vasa,Uttar Pradesh,Office Supplies,Art,Sketch Pen Set,1577.32,2,415.16
2025-06-10,Piya Dada,Uttar Pradesh,Technology,Accessories,Earbuds,4090.46,1,1193.97
2024-10-21,Vedika Sule,Delhi,Technology,Copiers,HP ScanJet,14012.11,5,3822.96
2024-08-19,Aarna Bhandari,Madhya Pradesh,Furniture,Tables,Office Desk,1565.08,2,156.89
2025-05-29,Neelofar Borde,Maharashtra,Furniture,Tables,Office Desk,8577.91,3,1220.02
2023-08-09,Hridaan Banik,Delhi,Office Supplies,Paper,Photo Paper,1684.6,1,505.21
